Circuit--Architecture,Depth,Gates,Real Time (ms),User + Sys Time (ms)
3_17_13--2x3,49,63,17,12
3_17_13--aspen4,60,81,24,20
3_17_13--qx2,22,36,12,8
ex-1_166--2x3,28,34,13,9
ex-1_166--aspen4,33,43,16,12
ex-1_166--qx2,12,19,12,8
ham3_102--2x3,32,38,14,10
ham3_102--aspen4,37,47,18,14
ham3_102--qx2,13,20,12,8
or--2x3,27,35,12,8
or--aspen4,39,53,15,10
or--qx2,8,17,12,7
4gt13_92--2x3,129,180,66,62
4gt13_92--aspen4,141,228,2283,2279
4gt13_92--qx2,38,66,6,2
4mod5-v1_22--2x3,27,42,7,3
4mod5-v1_22--aspen4,36,51,82,78
4mod5-v1_22--qx2,24,36,7,4
alu-v0_27--2x3,55,87,11,7
alu-v0_27--aspen4,79,108,3390,3386
alu-v0_27--qx2,28,45,6,2
mod5mils_65--2x3,45,62,8,4
mod5mils_65--aspen4,42,62,10,7
mod5mils_65--qx2,36,50,9,5
qaoa5--2x3,14,22,6,2
qaoa5--aspen4,14,22,8,4
qaoa5--qx2,14,22,10,5
16QBT_05CYC_TFL_0--aspen4,5,37,11,7
16QBT_10CYC_TFL_3--aspen4,10,73,17,12
