Circuit--Architecture,Depth,Gates,Real Time (ms),User + Sys Time (ms)
3_17_13--2x3,67,110,25,24
3_17_13--aspen4,61,98,61,59
3_17_13--qx2,34,60,16,15
ex-1_166--2x3,35,56,15,14
ex-1_166--aspen4,33,52,66,64
ex-1_166--qx2,18,31,12,11
ham3_102--2x3,36,57,16,15
ham3_102--aspen4,32,49,40,39
ham3_102--qx2,21,36,13,12
or--2x3,20,35,17,16
or--aspen4,18,31,40,39
or--qx2,8,17,13,12
4gt13_92--2x3,121,205,35,34
4gt13_92--aspen4,126,234,309,307
4gt13_92--qx2,60,110,20,19
4mod5-v1_22--2x3,35,58,16,15
4mod5-v1_22--aspen4,35,58,35,34
4mod5-v1_22--qx2,31,50,14,13
alu-v0_27--2x3,63,106,25,24
alu-v0_27--aspen4,64,119,204,202
alu-v0_27--qx2,38,67,16,15
mod5mils_65--2x3,62,108,22,21
mod5mils_65--aspen4,62,108,55,54
mod5mils_65--qx2,41,68,16,15
qaoa5--2x3,18,30,14,13
qaoa5--aspen4,14,22,28,26
qaoa5--qx2,14,22,24,22
16QBT_05CYC_TFL_0--aspen4,5,37,21356,21313
16QBT_10CYC_TFL_3--aspen4,16,97,9492,9490
