Circuit--Architecture,Depth,Gates,Real Time (ms),User + Sys Time (ms)
3_17_13--2x3,67,110,30,27
3_17_13--aspen4,61,98,53,52
3_17_13--qx2,34,60,16,15
ex-1_166--2x3,35,56,15,14
ex-1_166--aspen4,33,52,32,31
ex-1_166--qx2,18,31,12,11
ham3_102--2x3,36,57,15,15
ham3_102--aspen4,32,49,32,31
ham3_102--qx2,21,36,13,12
or--2x3,20,35,15,14
or--aspen4,18,31,25,24
or--qx2,8,17,12,11
4gt13_92--2x3,111,208,31,30
4gt13_92--aspen4,134,231,149,147
4gt13_92--qx2,60,110,21,20
4mod5-v1_22--2x3,35,58,16,15
4mod5-v1_22--aspen4,35,58,34,33
4mod5-v1_22--qx2,32,50,14,13
alu-v0_27--2x3,61,110,25,23
alu-v0_27--aspen4,65,109,187,185
alu-v0_27--qx2,38,67,17,16
mod5mils_65--2x3,62,108,25,23
mod5mils_65--aspen4,62,108,59,58
mod5mils_65--qx2,41,68,17,15
qaoa5--2x3,18,30,21,19
qaoa5--aspen4,14,22,16,14
qaoa5--qx2,14,22,13,12
16QBT_05CYC_TFL_0--aspen4,5,37,22971,22969
16QBT_10CYC_TFL_3--aspen4,16,97,5220,5219
