Circuit--Architecture,Depth,Gates,Real Time (ms),User + Sys Time (ms)
3_17_13--2x3,67,110,61,49
3_17_13--aspen4,61,98,41,31
3_17_13--qx2,34,60,22,15
ex-1_166--2x3,35,56,29,20
ex-1_166--aspen4,32,48,35,25
ex-1_166--qx2,18,31,20,13
ham3_102--2x3,36,57,36,27
ham3_102--aspen4,32,49,59,49
ham3_102--qx2,21,36,20,14
or--2x3,20,35,28,19
or--aspen4,18,31,43,34
or--qx2,8,17,20,14
4gt13_92--2x3,111,208,41,28
4gt13_92--aspen4,124,231,127,112
4gt13_92--qx2,60,110,28,19
4mod5-v1_22--2x3,33,50,28,18
4mod5-v1_22--aspen4,35,58,38,29
4mod5-v1_22--qx2,33,55,23,14
alu-v0_27--2x3,59,106,58,46
alu-v0_27--aspen4,65,106,131,121
alu-v0_27--qx2,38,67,23,15
mod5mils_65--2x3,61,97,32,19
mod5mils_65--aspen4,64,101,48,37
mod5mils_65--qx2,41,69,24,15
qaoa5--2x3,18,30,21,13
qaoa5--aspen4,14,22,45,36
qaoa5--qx2,14,22,50,40
16QBT_05CYC_TFL_0--aspen4,5,37,5447,5439
16QBT_10CYC_TFL_3--aspen4,16,97,3469,3461
