Circuit--Architecture,Depth,Gates,Real Time (ms),User + Sys Time (ms)
3_17_13--2x3,67,110,65,53
3_17_13--aspen4,61,98,58,47
3_17_13--qx2,34,60,21,14
ex-1_166--2x3,35,56,27,18
ex-1_166--aspen4,33,52,46,37
ex-1_166--qx2,18,31,22,15
ham3_102--2x3,36,57,41,29
ham3_102--aspen4,32,49,64,53
ham3_102--qx2,21,36,19,12
or--2x3,20,35,20,12
or--aspen4,18,31,26,19
or--qx2,8,17,17,11
4gt13_92--2x3,121,205,48,34
4gt13_92--aspen4,134,234,302,287
4gt13_92--qx2,60,110,28,19
4mod5-v1_22--2x3,35,58,27,18
4mod5-v1_22--aspen4,35,58,41,31
4mod5-v1_22--qx2,31,50,23,14
alu-v0_27--2x3,63,106,65,51
alu-v0_27--aspen4,64,119,202,192
alu-v0_27--qx2,38,67,24,15
mod5mils_65--2x3,62,108,32,21
mod5mils_65--aspen4,62,108,61,50
mod5mils_65--qx2,41,68,23,15
qaoa5--2x3,18,30,22,15
qaoa5--aspen4,14,22,36,26
qaoa5--qx2,14,22,32,24
16QBT_05CYC_TFL_0--aspen4,5,37,21235,21227
16QBT_10CYC_TFL_3--aspen4,16,97,9535,9526
