Circuit--Architecture,Depth,Gates,Real Time (ms),User + Sys Time (ms)
3_17_13--2x3,67,110,29,27
3_17_13--aspen4,61,98,37,36
3_17_13--qx2,34,60,16,15
ex-1_166--2x3,35,56,15,13
ex-1_166--aspen4,33,52,24,23
ex-1_166--qx2,18,31,13,12
ham3_102--2x3,36,57,19,17
ham3_102--aspen4,32,49,35,34
ham3_102--qx2,21,36,15,13
or--2x3,20,35,15,13
or--aspen4,18,31,22,20
or--qx2,8,17,13,12
4gt13_92--2x3,111,208,34,33
4gt13_92--aspen4,124,231,130,129
4gt13_92--qx2,60,110,21,20
4mod5-v1_22--2x3,35,58,16,15
4mod5-v1_22--aspen4,35,58,28,27
4mod5-v1_22--qx2,32,50,14,13
alu-v0_27--2x3,61,110,22,22
alu-v0_27--aspen4,65,109,171,170
alu-v0_27--qx2,38,67,17,15
mod5mils_65--2x3,62,108,21,20
mod5mils_65--aspen4,62,108,42,41
mod5mils_65--qx2,41,68,16,15
qaoa5--2x3,18,30,14,12
qaoa5--aspen4,14,22,18,17
qaoa5--qx2,14,22,15,14
16QBT_05CYC_TFL_0--aspen4,5,37,23078,23042
16QBT_10CYC_TFL_3--aspen4,16,97,5236,5234
